list_countries,ISO3
África do Sul,ZAF
Alemanha,DEU
Angola,AGO
Arábia Saudita,SAU
Argentina,ARG
Austrália,AUS
Áustria,AUT
Bangladesh,BGD
Bélgica,BEL
Bolívia,BOL
Bulgária,BGR
Cabo Verde,CPV
Canadá,CAN
Chile,CHL
China,CHN
"China, Hong Kong",HKG
Cingapura,CHN
Colômbia,COL
Costa Rica,CRI
Croácia,HRV
Cuba,CUB
Dinamarca,DNK
Egito,EGY
El Salvador,SLV
Equador,ECU
Eslováquia,SVK
Eslovênia,SVN
Espanha,ESP
Estados Unidos,USA
Estônia,EST
Filipinas,PHL
Finlândia,FIN
França,FRA
Gana,GHA
Grécia,GRC
Guatemala,GTM
Guiana,GUY
Guiana Francesa,GUF
Haiti,HTI
Holanda,NLD
Honduras,HND
Hungria,HUN
Índia,IND
Indonésia,IDN
Irã,IRN
Iraque,IRQ
Irlanda,IRL
Israel,ISR
Itália,ITA
Japão,JPN
Letônia,LVA
Líbano,LBN
Lituânia,LTU
Luxemburgo,LUX
Malásia,MYS
Marrocos,MAR
México,MEX
Moçambique,MOZ
Nicarágua,NIC
Nigéria,NGA
Noruega,NOR
Nova Zelândia,NZL
Outros países,UZB
Países não especificados,BES
Panamá,PAN
Paquistão,PAK
Paraguai,PRY
Peru,PER
Polônia,POL
Porto Rico,PRI
Portugal,PRT
Quênia,KEN
Reino Unido,GBR
República da Coreia,BEN
República Dominicana,DOM
República Tcheca,TCD
Romênia,ROU
Rússia,RUS
Sérvia,SRB
Síria,SYR
Suécia,SWE
Suíça,CHE
Suriname,SUR
Tailândia,THA
Taiwan,TWN
Trinidad e Tobago,TTO
Tunísia,TUN
Turquia,TUR
Ucrânia,UKR
Uruguai,URY
Venezuela,VEN
